date:2018/09/09---LINSSIDDATALOGVER hi 2.8
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-41	80	-42	-41	46	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:A3:0C	48	AP	bgnac	PSK	CCMP	CCMP	5240	48	-76	80	-77	-75	46	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	50	-75	40	-76	-73	151	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:19:7C	153	AP	bgnac	PSK	CCMP	CCMP	5765	28	-86	80	-86	-83	151	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:54:DC	157	AP	bgnac	PSK	CCMP	CCMP	5785	32	-84	80	-85	-79	159	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:87:FC	157	AP	bgnac	PSK	CCMP	CCMP	5785	74	-63	80	-65	-59	159	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	36	-82	80	-86	-82	159	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	38	-81	80	-83	-81	159	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	64	-68	80	-72	-67	159	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
2018/09/09.15:56:33	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	62	-69	80	-71	-69	159	2018/09/09.15:54:38	2018/09/09.15:56:33	"Ruckus Wireless"
