date:-2018/09/14  LINSSIDDATALOGVER 2.8
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:54:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	36	-82	20	-82	-79	11	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:89:58	11	AP	bgn	PSK	CCMP	CCMP	2462	44	-78	20	-79	-78	11	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"StormBreaker"	00:22:6B:47:B8:32	11	AP	bgn	PSK	CCMP	CCMP	2462	18	-91	20	-91	-90	11	2018/09/14.20:56:03	2018/09/14.20:56:09	"Cisco-Linksys, LLC"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:8A:6C	36	AP	bgnac	PSK	CCMP	CCMP	5180	36	-82	80	-84	-82	38	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:A6:8C	36	AP	bgnac	PSK	CCMP	CCMP	5180	52	-74	80	-76	-74	38	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:8B:4C	40	AP	bgnac	PSK	CCMP	CCMP	5200	22	-89	80	-89	-88	38	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:91:DC	44	AP	bgnac	PSK	CCMP	CCMP	5220	58	-71	80	-72	-71	46	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	52	-74	80	-74	-74	46	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-45	80	-45	-45	46	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
2018/09/14.20:56:09	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	46	-77	40	-77	-76	151	2018/09/14.20:56:03	2018/09/14.20:56:09	"Ruckus Wireless"
