MAC	Signal
D4:68:4D:3E:86:68	-78
D4:68:4D:3E:86:68	-85
D4:68:4D:3E:87:F8	-52
D4:68:4D:3E:87:FC	-54
D4:68:4D:3E:89:58	-74
D4:68:4D:3E:8A:68	-65
D4:68:4D:3E:8A:68	-67
D4:68:4D:3E:8A:6C	-76
D4:68:4D:3E:8A:6C	-78
D4:68:4D:3E:8A:6C	-79
D4:68:4D:3E:8A:6C	-80
D4:68:4D:3E:8B:4C	-86
D4:68:4D:3E:8B:4C	-87
D4:68:4D:3E:8C:88	-44
D4:68:4D:3E:8C:88	-45
D4:68:4D:3E:8C:88	-48
D4:68:4D:3E:8C:88	-64
D4:68:4D:3E:8C:8C	-69
D4:68:4D:3E:8C:8C	-70
D4:68:4D:3E:8E:88	-88
D4:68:4D:3E:91:D8	-56
D4:68:4D:3E:91:D8	-57
D4:68:4D:3E:91:D8	-59
D4:68:4D:3E:91:D8	-66
D4:68:4D:3E:A3:08	-55
D4:68:4D:3E:A3:08	-80
D4:68:4D:3E:A3:C8	-66
D4:68:4D:3E:A3:C8	-67
D4:68:4D:3E:A4:28	-54
D4:68:4D:3E:A4:28	-56
D4:68:4D:3E:A4:28	-57
D4:68:4D:3E:A4:2C	-76
D4:68:4D:3E:A6:38	-88
D4:68:4D:3E:A6:88	-69
D4:68:4D:3E:A6:88	-70
D4:68:4D:3E:A6:88	-71
D4:68:4D:3E:A6:8C	-85
D4:68:4D:3E:A7:B8	-78
D4:68:4D:3E:A7:B8	-80
